Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,79.0,99.0,79.0,99.0,99.0,1310600.0
2022-03-02,113.0,133.0,101.0,133.0,133.0,573100.0
2022-03-03,113.0,133.0,101.0,133.0,133.0,573100.0
2022-03-04,130.0,179.0,130.0,179.0,179.0,337100.0
2022-03-05,130.0,179.0,130.0,179.0,179.0,337100.0
2022-03-06,130.0,179.0,130.0,179.0,179.0,337100.0
2022-03-07,238.0,241.0,167.0,167.0,167.0,879000.0
2022-03-08,157.0,157.0,156.0,156.0,156.0,47100.0
2022-03-09,146.0,146.0,146.0,146.0,146.0,6300.0
2022-03-10,136.0,136.0,136.0,136.0,136.0,72000.0
2022-03-11,128.0,170.0,127.0,127.0,127.0,1787900.0
2022-03-12,128.0,170.0,127.0,127.0,127.0,1787900.0
2022-03-13,128.0,170.0,127.0,127.0,127.0,1787900.0
2022-03-14,127.0,127.0,119.0,119.0,119.0,54800.0
2022-03-15,112.0,115.0,111.0,111.0,111.0,157000.0
2022-03-16,104.0,104.0,104.0,104.0,104.0,11800.0
2022-03-17,97.0,138.0,97.0,97.0,97.0,2151300.0
2022-03-18,98.0,119.0,91.0,94.0,94.0,1594800.0
2022-03-19,98.0,119.0,91.0,94.0,94.0,1594800.0
2022-03-20,98.0,119.0,91.0,94.0,94.0,1594800.0
2022-03-21,92.0,94.0,88.0,88.0,88.0,198600.0
2022-03-22,84.0,94.0,82.0,82.0,82.0,219400.0
2022-03-23,82.0,110.0,77.0,80.0,80.0,4980300.0
2022-03-24,80.0,90.0,76.0,78.0,78.0,624100.0
2022-03-25,79.0,80.0,74.0,76.0,76.0,662600.0
2022-03-26,79.0,80.0,74.0,76.0,76.0,662600.0
2022-03-27,79.0,80.0,74.0,76.0,76.0,662600.0
2022-03-28,76.0,78.0,74.0,76.0,76.0,129100.0
2022-03-29,76.0,79.0,72.0,76.0,76.0,215200.0
2022-03-30,76.0,77.0,73.0,75.0,75.0,310700.0
2022-03-31,75.0,78.0,72.0,73.0,73.0,205000.0
2022-04-01,73.0,98.0,73.0,98.0,98.0,10745500.0
2022-04-02,73.0,98.0,73.0,98.0,98.0,10745500.0
2022-04-03,73.0,98.0,73.0,98.0,98.0,10745500.0
2022-04-04,110.0,124.0,92.0,92.0,92.0,5933100.0
2022-04-05,90.0,92.0,86.0,86.0,86.0,381500.0
2022-04-06,86.0,86.0,80.0,80.0,80.0,1389200.0
2022-04-07,83.0,104.0,83.0,86.0,86.0,10017400.0
2022-04-08,88.0,105.0,84.0,90.0,90.0,3503100.0
2022-04-09,88.0,105.0,84.0,90.0,90.0,3503100.0
2022-04-10,88.0,105.0,84.0,90.0,90.0,3503100.0
2022-04-11,90.0,91.0,84.0,85.0,85.0,1436300.0
2022-04-12,85.0,85.0,80.0,82.0,82.0,696500.0
2022-04-13,84.0,85.0,82.0,84.0,84.0,307000.0
2022-04-14,84.0,85.0,79.0,79.0,79.0,528900.0
2022-04-15,84.0,85.0,79.0,79.0,79.0,528900.0
2022-04-16,84.0,85.0,79.0,79.0,79.0,528900.0
